Item Name,Qty,Price (total) (EUR),Item link
Phaetus Dragon Hotend,1,83.32,"https://www.aliexpress.com/item/1005012421068235.html?spm=a2g0o.productlist.main.1.3a57SrYtSrYtqe&algo_pvid=a5676577-5c75-4557-8098-975b0a43a4e3&algo_exp_id=a5676577-5c75-4557-8098-975b0a43a4e3-0&pdp_ext_f=%7B""order""%3A""29""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2187.64%2183.32%21%21%21657.95%21625.46%21%4021038a9c17898293387658958e0e03%2112000058314265536%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=AjB89YZgDgCb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012421068235%7C_p_origin_prod%3A"
PSU,1,N/A,Recycled
BIGTREETECH Octopus PRO with drivers,1,70.66,"https://www.aliexpress.com/item/1005003349906490.html?spm=a2g0o.productlist.main.3.501a5656Dad8J7&algo_pvid=b7451b93-e400-41ee-9421-1437d032c28c&algo_exp_id=b7451b93-e400-41ee-9421-1437d032c28c-2&pdp_ext_f=%7B""order""%3A""209""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%2149.68%2145.21%21%21%2155.72%2150.71%21%400b15834017898294517002224e0f0b%2112000031139432946%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=7nF3EelqueXM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003349906490%7C_p_origin_prod%3A"
Belt 10m for reserve,1,11.00,"https://www.aliexpress.com/item/1005005216868552.html?spm=a2g0o.productlist.main.2.4413Kj58Kj58Zx&algo_pvid=32b955f3-fb36-4c87-90bd-818f3530e9c5&algo_exp_id=32b955f3-fb36-4c87-90bd-818f3530e9c5-1&pdp_ext_f=%7B""order""%3A""1025""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%212.56%212.51%21%21%212.87%212.82%21%4021613b2717898296527607262e11cf%2112000041927837321%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=I5twDeVbeMFM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005216868552%7C_p_origin_prod%3A"
GT2 20T Idler & Puley,5,9.20,"https://www.aliexpress.com/item/1005005166638596.html?spm=a2g0o.productlist.main.3.5671DxEHDxEH1v&algo_pvid=e7123b3c-65a5-4ea9-9d27-8bb73b728be7&algo_exp_id=e7123b3c-65a5-4ea9-9d27-8bb73b728be7-2&pdp_ext_f=%7B""order""%3A""1822""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%211.91%211.84%21%21%212.14%212.06%21%400b88486a17898297768893335e0dd7%2112000031943673625%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=8MlzveeflQDW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005166638596%7C_p_origin_prod%3A"
F695 Bearing 10pc,3,12.00,"https://www.aliexpress.com/item/1005004095001000.html?spm=a2g0o.productlist.main.1.6067kc1Qkc1Qcc&algo_pvid=a26fe038-835f-45ab-bed1-2cd056973386&algo_exp_id=a26fe038-835f-45ab-bed1-2cd056973386-0&pdp_ext_f=%7B""order""%3A""752""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%214.15%213.99%21%21%214.66%214.48%21%400b15832917898300054818813e1246%2112000028970871482%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=c8R3VcnVBMfj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004095001000%7C_p_origin_prod%3A"
PEI Plate,1,77.88,https://www.aliexpress.com/item/1005009965641732.html?osf=ppc_ug&guideModule=ppc_ug&src=google&albch=search&acnt=479-062-3723&isdl=y&aff_short_key=UneMJZVf&albcp=266121556&albag=7593673036&slnk=&trgt=kwl-42862830006&plac=&crea=426759244530&albad=426759244530&netw=g&device=c&mtctp=a&memo1=&albbt=Google_7_search&aff_platform=google&albagn=888888&isSmbActive=false&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=266121556&gclid=Cj0KCQjwk5nVBhDiARIsAHNGqae2f_7yOLeNEKXfhcpfOrcCX1lXEzpXM2mLWn_g8uS38KbiglnveQ0aAhcfEALw_wcB
MGN12H 280mm,3,42.39,"https://www.aliexpress.com/item/1005003696820721.html?spm=a2g0o.productlist.main.6.b06a3114ARa3ag&algo_pvid=b77af14b-cdf4-433d-86db-a543ddfc291f&algo_exp_id=b77af14b-cdf4-433d-86db-a543ddfc291f-5&pdp_ext_f=%7B""order""%3A""2010""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%217.24%216.56%21%21%218.12%217.36%21%40210393bd17898302195695483e1098%2112000026841821318%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=BwZLXdyzfsts&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003696820721%7C_p_origin_prod%3A"
MGN12H 330mm,2,29.06,"https://www.aliexpress.com/item/1005003696820721.html?spm=a2g0o.productlist.main.6.b06a3114ARa3ag&algo_pvid=b77af14b-cdf4-433d-86db-a543ddfc291f&algo_exp_id=b77af14b-cdf4-433d-86db-a543ddfc291f-5&pdp_ext_f=%7B""order""%3A""2010""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%217.24%216.56%21%21%218.12%217.36%21%40210393bd17898302195695483e1098%2112000026841821318%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=BwZLXdyzfsts&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003696820721%7C_p_origin_prod%3A"
MGN12H 510mm,1,20.66,"https://www.aliexpress.com/item/1005003696820721.html?spm=a2g0o.productlist.main.6.b06a3114ARa3ag&algo_pvid=b77af14b-cdf4-433d-86db-a543ddfc291f&algo_exp_id=b77af14b-cdf4-433d-86db-a543ddfc291f-5&pdp_ext_f=%7B""order""%3A""2010""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%217.24%216.56%21%21%218.12%217.36%21%40210393bd17898302195695483e1098%2112000026841821318%21sea%21SK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A96cef531%3Bm03_new_user%3A-29895&curPageLogUid=BwZLXdyzfsts&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003696820721%7C_p_origin_prod%3A"
X carriage,1,60.00,JLCCNC or print it
Bed,1,95.00,JLCCNC or print it
,,,
50xM4x30mm ,1,20.00,Safe to buy 30mm and cut them down
20xM3x30mm,1,10.00,Same for M3
Total price EUR: 780.04€,,,
